Mes,TOTAL,"Ruta 20 (V.Carlos Paz)","Ruta 5 (Alta Gracia)","Ruta 36  ( Río Cuarto)","Ruta 9 Sur (Bs As)","Autop. Pilar Cba (Bs As)","Ruta 19","Ruta 9 N (NOA)","Ruta E-53 (Río Ceballos)","Ruta E-55 (La Calera)"
2013/01/01,5140001,1592575,500784,266567,115182,500615,240025,426321,921086,576846
2013/02/01,4241280,1296089,436862,235299,107268,442156,211999,315356,838480,357771
2013/03/01,4231616,1135595,420376,239943,124696,424971,214402,339515,942577,389541
2013/04/01,"4979257,5",1193323,417660,326162,175303,"603384,5","320662,5",506641,"1009432,5",426689
2013/05/01,4042473,1047816,391026,240574,128723,390411,204008,335401,909440,395074
2013/06/01,3920363,1001586,383243,230643,124207,391515,199759,335837,880391,373182
2013/07/01,4238909,1085341,403625,248621,133646,450371,221479,383523,925425,386878
2013/08/01,4185482,1072392,403859,246192,135415,405778,212720,354619,957558,396949
2013/09/01,4126284,1083380,405667,241891,135205,396048,205205,341615,926203,391070
2013/10/01,4396475,1137545,430899,260407,135861,432139,222691,359563,1001157,416213
2013/11/01,4274130,1152719,415884,248041,123467,404927,209193,337156,980705,402038
2013/12/01,4605663,1297215,471588,277120,129367,407935,212830,344973,1034614,430021
2014/01/01,5073525,1595018,534150,269298,124716,486420,240543,422532,982754,418094
2014/02/01,4237501,1254823,446770,231663,118709,427265,207266,316172,869099,365734
2014/03/01,4355075,1175616,447320,240194,127686,411123,212425,328796,996000,415915
2014/04/01,4013992,1012885,394890,227418,123263,385558,197803,324626,955308,392241
2014/05/01,4066212,1028284,405181,235050,126160,377718,196229,321406,979481,396703
2014/06/01,3812182,939041,376628,219180,123533,352151,186916,307758,934320,372655
2014/07/01,4111299,1020998,403297,238368,126369,412769,206585,352494,963218,387201
2014/08/01,4249722,1082304,428842,238249,128606,380834,225026,347557,1011749,406555
2014/09/01,4118006,1041065,411868,234330,128758,375632,198306,325668,1006252,396127
2014/10/01,4401318,1121941,448959,246327,131008,415887,211328,342850,1063055,419963
2014/11/01,4239362,1114441,441250,233731,123924,380896,199652,321476,1026618,397374
2014/12/01,4650701,1259696,489455,259780,131270,417711,215698,349929,1099125,428037
2015/01/01,4961193,1499455,523558,272769,123104,483824,239094,427854,981371,410164
2015/02/01,4961193,1499455,523558,272769,123104,483824,239094,427854,981371,410164
2015/03/01,4272661,1256429,452311,245544,114318,437841,219792,299735,892055,354636
2015/04/01,5166323,"1264635,5","450712,5","341110,5",193765,"572254,5",327962,"512981,5","1028752,5",474149
2015/05/01,5156578,1244504,454447,345576,"194934,5","566804,5",322792,"508145,5","1034099,5",485275
2015/06/01,4073055,1018496,391661,253375,139733,359767,196104,328624,963499,421796
2015/07/01,4539875,1165032,429415,281766,142816,453003,232253,402919,987189,445482
2015/08/01,4432955,1125507,426670,272677,139820,398387,212479,361103,1041484,454828
2015/09/01,4412736,1099744,421551,268258,140645,391072,206390,351353,1076324,457399
2015/10/01,4614090,1124864,441658,282282,146073,425851,222045,369308,1124266,477743
2015/11/01,4550229,1213293,433663,268966,132931,404479,207280,343721,1098731,447165
2015/12/01,4979479,1312810,496762,305155,139360,435648,230029,374977,1181548,503190
