Anio,Pasajeros Sistema de Transporte,Pasajeros Trolebuses,Pasajeros Diferenciales,Pasajeros Total,Kilometros Sistema de Transporte,Kilometros Trolebuses,Kilometros Diferenciales,Kilometros Total
2002, 92.380.869 , 7.553.670 ,, 99.934.539 , 51.234.921 , 2.294.526 ,, 53.529.447 
2003, 108.186.685 , 8.390.830 ,, 116.577.515 , 47.032.042 , 2.076.476 ,, 49.108.518 
2004, 119.251.999 , 8.371.353 ,, 127.623.352 , 47.206.897 , 1.916.609 ,, 49.123.507 
2005, 138.589.870 , 8.782.642 ,, 147.372.512 , 53.236.975 , 1.964.181 ,, 55.201.156 
2006, 149.566.718 , 9.023.237 ,, 158.589.955 , 57.336.743 , 2.079.814 ,, 59.416.557 
2007, 154.877.153 , 9.404.851 ,, 164.282.004 , 56.833.358 , 2.027.074 ,, 58.860.432 
2008, 163.081.637 , 9.675.766 ,, 172.757.403 , 57.149.678 , 2.021.162 ,, 59.170.840 
2009, 161.923.925 , 9.636.345 , 3.043.643 , 174.603.913 , 56.239.158 , 2.015.717 , 3.726.608 , 61.981.483 
2010, 157.442.564 , 9.488.954 , 3.551.405 , 170.482.923 , 55.328.637 , 2.063.099 , 4.024.573 , 61.416.309 
2011, 149.298.563 , 9.303.023 , 3.890.906 , 162.492.492 , 55.016.454 , 2.114.880 , 3.774.000 , 60.905.334 
2012, 158.054.464 , 8.687.837 , 3.605.830 , 170.348.131 , 52.430.217 , 2.053.322 , 3.379.074 , 57.862.612 
2013, 150.149.995 , 8.234.402 , 2.903.249 , 161.287.646 , 50.746.331 , 1.993.945 , 3.144.082 , 55.884.359 
2014, 160.017.404 , 9.937.734 ,482.636, 170.437.774 , 56.380.850 , 1.965.725 , 1.125.910 , 59.472.485 
2015, 169.208.418 , 9.895.335 ,194, 179.103.947 , 56.865.951 , 1.958.132 ,555, 58.824.638 
